Name,Link,MRP,DiscountedPrice,DiscountPercent
Refined Sunflower - Oil 5 L Can + BB Popular Sugar 1 kg,https://www.bigbasket.com/pd/1221865/sunpure-refined-sunflower-oil-5-l-can-bb-popular-sugar-1-kg-combo/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,955,714,25
Tasty Refined Cooking oil | Blended Rice bran & Corn oil | Pro Fitness Conscious,https://www.bigbasket.com/pd/100554/saffola-tasty-refined-cooking-oil-blended-rice-bran-corn-oil-pro-fitness-conscious-1-l-pouch/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,170,152,11
Mustard/Sasive/Rai - Small,https://www.bigbasket.com/pd/40030810/bb-royal-mustardrai-small-1-kg/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,300,164,45
Chilli - Guntur with Stem,https://www.bigbasket.com/pd/40018885/bb-royal-chilli-guntur-with-stem-500-g/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,350,238,32
Organic - Raisins/Ona Drakshi,https://www.bigbasket.com/pd/40072511/bb-royal-organic-raisinkismis-100-g/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,69,51,26
Red Chilli/Lal Mirch 200g + Coriander/Dhania Seeds 200g + Cumin/Jeera Whole 200g,https://www.bigbasket.com/pd/1202595/bb-royal-red-chillilal-mirch-200g-corianderdhania-seeds-200g-cuminjeera-whole-200g-combo/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,440,247,44
Fortune Premium Kachi Ghani Pure Mustard Oil,https://www.bigbasket.com/pd/276764/fortune-fortune-premium-kachi-ghani-pure-mustard-oil-500-ml-bottle/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,108,87,19
Gold Palmolein Oil,https://www.bigbasket.com/pd/40018402/ruchi-gold-palmolein-oil-1-l/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,136,99,27
"Sooji - Ordinary, 1 kg + Besan Flour, 1 kg + Maida, 1 kg",https://www.bigbasket.com/pd/1200526/bb-royal-sooji-ordinary-1-kg-besan-flour-1-kg-maida-1-kg-combo/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,280,183,35
"Sooji - Ordinary, 1 kg + Besan Flour, 1 kg + Maida 1 kg",https://www.bigbasket.com/pd/1200637/bb-royal-sooji-ordinary-1-kg-besan-flour-1-kg-maida-1-kg-combo/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,280,183,35
"Besan Flour, 500 gm + Maida, 500 gm + Sooji - Ordinary, 500 gm",https://www.bigbasket.com/pd/1200533/bb-royal-besan-flour-500-gm-maida-500-gm-sooji-ordinary-500-gm-combo/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,141,94,33
Chana - Brown/Kadale Kaalu,https://www.bigbasket.com/pd/70001280/bb-popular-channa-brown-1-kg-pouch/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,140,91,35
Rice/Akki - Dosa,https://www.bigbasket.com/pd/10000409/bb-royal-rice-dosa-5-kg-pouch/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,300,224,25
New Rice/Akki - Sona Masoori,https://www.bigbasket.com/pd/40128964/bb-popular-new-rice-sona-masoori-5-kg/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,275,252,23
Chiroti Sooji 1 kg + Ordinary Sooji 1 kg + Bansi Sooji 1 kg,https://www.bigbasket.com/pd/1202060/bb-royal-chiroti-sooji-1-kg-ordinary-sooji-1-kg-bansi-sooji-1-kg-combo/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,205,156,24
Toor Dal/Arhar Dal - Rich In Protein + Unpolished Moong Dal - Premium 1 kg,https://www.bigbasket.com/pd/1221501/tata-sampann-toor-dalarhar-dal-rich-in-protein-unpolished-moong-dal-premium-1-kg-combo/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,374,291,22
Salt/Uppu - Iodised,https://www.bigbasket.com/pd/236834/aashirvaad-salt-iodised-1-kg-pouch/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,28,21,25
"Almond/Badam - Californian, Giri Bold",https://www.bigbasket.com/pd/40088564/bb-royal-almondbadam-californian-giri-1-kg-pouch/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,1500,986,34
Chana Dal/Kadale Bele,https://www.bigbasket.com/pd/40042839/bb-popular-channa-dal-2-kg-pouch/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,230,187,19
Nakshatra Pooja Oil,https://www.bigbasket.com/pd/40141960/mr-gold-nakshatra-pooja-oil-500-ml/?nc=cl-product-list&t_pg=l1-cat-food-oil-masala&t_p=foodgrain-oil-masala&t_s=cl-product-list&t_pos=3&t_ch=desktop,105,89,15
